sex,relday,stage,stageday,subject,GroupCount,aucvalues,last10days,cue,type
M,1,5,1,rat10,201,0.246859095,1,DS,noexp
M,2,5,2,rat10,201,0.714775147,2,DS,noexp
M,3,5,3,rat10,201,0.375269071,3,DS,noexp
M,4,5,4,rat10,201,-0.505327892,4,DS,noexp
M,1,5,1,rat11,201,1.608661821,1,DS,noexp
M,2,5,2,rat11,201,2.774461854,2,DS,noexp
F,1,5,1,rat12,201,2.10098881,1,DS,noexp
F,2,5,2,rat12,201,3.461007407,2,DS,noexp
F,3,5,3,rat12,201,3.15376495,3,DS,noexp
F,6,5,1,rat14,201,3.546316571,NaN,DS,GFP
F,7,5,2,rat14,201,-1.819644562,NaN,DS,GFP
F,8,5,3,rat14,201,1.235050075,1,DS,GFP
F,9,5,4,rat14,201,4.427975669,2,DS,GFP
F,10,5,5,rat14,201,-1.227899772,3,DS,GFP
F,11,5,6,rat14,201,-5.384667079,4,DS,GFP
F,12,5,7,rat14,201,2.182185885,5,DS,GFP
F,13,5,8,rat14,201,4.761386381,6,DS,GFP
F,14,5,9,rat14,201,1.609837354,7,DS,GFP
F,15,5,10,rat14,201,-0.091160326,8,DS,GFP
F,16,5,11,rat14,201,-0.574025579,9,DS,GFP
F,17,5,12,rat14,201,3.442528224,10,DS,GFP
F,11,5,1,rat8,201,2.323143978,NaN,DS,GFP
F,12,5,2,rat8,201,1.958389244,NaN,DS,GFP
F,13,5,3,rat8,201,2.185496477,NaN,DS,GFP
F,14,5,4,rat8,201,0.719440542,NaN,DS,GFP
F,15,5,5,rat8,201,2.238628506,NaN,DS,GFP
F,16,5,6,rat8,201,1.787397985,NaN,DS,GFP
F,17,5,7,rat8,201,1.019584978,NaN,DS,GFP
F,18,5,8,rat8,201,-1.868522543,NaN,DS,GFP
F,19,5,9,rat8,201,-0.33662868,NaN,DS,GFP
F,20,5,10,rat8,201,-1.24244673,NaN,DS,GFP
F,21,5,11,rat8,201,-2.774268729,1,DS,GFP
F,22,5,12,rat8,201,-3.218095048,2,DS,GFP
F,23,5,13,rat8,201,-1.350500724,3,DS,GFP
F,24,5,14,rat8,201,-0.718071939,4,DS,GFP
F,25,5,15,rat8,201,-0.989264844,5,DS,GFP
F,26,5,16,rat8,201,-5.262446685,6,DS,GFP
F,27,5,17,rat8,201,-0.474658114,7,DS,GFP
F,28,5,18,rat8,201,-2.265726846,8,DS,GFP
F,29,5,19,rat8,201,0.827302147,9,DS,GFP
F,30,5,20,rat8,201,-1.442022906,10,DS,GFP
F,1,5,1,rat9,201,-2.551218928,1,DS,noexp
M,1,5,1,rat10,201,0.065805163,1,NS,noexp
M,2,5,2,rat10,201,-0.165379271,2,NS,noexp
M,3,5,3,rat10,201,-0.267195773,3,NS,noexp
M,4,5,4,rat10,201,0.092762438,4,NS,noexp
M,1,5,1,rat11,201,0.772792637,1,NS,noexp
M,2,5,2,rat11,201,-0.345400728,2,NS,noexp
F,1,5,1,rat12,201,2.996271837,1,NS,noexp
F,2,5,2,rat12,201,1.078324128,2,NS,noexp
F,3,5,3,rat12,201,-0.135438167,3,NS,noexp
F,6,5,1,rat14,201,2.635025282,NaN,NS,GFP
F,7,5,2,rat14,201,-1.448770735,NaN,NS,GFP
F,8,5,3,rat14,201,-0.087040025,1,NS,GFP
F,9,5,4,rat14,201,-0.143640257,2,NS,GFP
F,10,5,5,rat14,201,1.240106379,3,NS,GFP
F,11,5,6,rat14,201,-4.988939469,4,NS,GFP
F,12,5,7,rat14,201,3.162531003,5,NS,GFP
F,13,5,8,rat14,201,-0.84253557,6,NS,GFP
F,14,5,9,rat14,201,-0.426361292,7,NS,GFP
F,15,5,10,rat14,201,-1.270350398,8,NS,GFP
F,16,5,11,rat14,201,0.132009521,9,NS,GFP
F,17,5,12,rat14,201,0.435147989,10,NS,GFP
F,11,5,1,rat8,201,4.283103316,NaN,NS,GFP
F,12,5,2,rat8,201,0.525222384,NaN,NS,GFP
F,13,5,3,rat8,201,0.996436627,NaN,NS,GFP
F,14,5,4,rat8,201,0.646652944,NaN,NS,GFP
F,15,5,5,rat8,201,0.761494422,NaN,NS,GFP
F,16,5,6,rat8,201,-1.679856369,NaN,NS,GFP
F,17,5,7,rat8,201,0.750882411,NaN,NS,GFP
F,18,5,8,rat8,201,-0.157473361,NaN,NS,GFP
F,19,5,9,rat8,201,-0.22003404,NaN,NS,GFP
F,20,5,10,rat8,201,-0.691806456,NaN,NS,GFP
F,21,5,11,rat8,201,-0.40838361,1,NS,GFP
F,22,5,12,rat8,201,-0.512336562,2,NS,GFP
F,23,5,13,rat8,201,-0.28788266,3,NS,GFP
F,24,5,14,rat8,201,0.959176125,4,NS,GFP
F,25,5,15,rat8,201,-0.321361933,5,NS,GFP
F,26,5,16,rat8,201,-1.898466021,6,NS,GFP
F,27,5,17,rat8,201,-0.305563208,7,NS,GFP
F,28,5,18,rat8,201,-1.605098958,8,NS,GFP
F,29,5,19,rat8,201,-0.182049325,9,NS,GFP
F,30,5,20,rat8,201,-0.229834136,10,NS,GFP
F,1,5,1,rat9,201,-0.267568132,1,NS,noexp
