sex,relday,stageday,stage,subject,GroupCount,aucvalues,led,cue
F,1,1,1,rat12,201,0.402999242,dff,DS
F,1,1,1,rat16,201,-1.485493638,dff,DS
F,1,1,1,rat2,201,-0.156353173,dff,DS
F,1,1,1,rat4,201,0.615907871,dff,DS
F,1,1,1,rat5,201,1.290231526,dff,DS
F,1,1,1,rat9,201,2.034051909,dff,DS
F,2,1,2,rat12,201,1.024137985,dff,DS
F,2,1,2,rat16,201,2.843536355,dff,DS
F,2,1,2,rat2,201,0.961370339,dff,DS
F,2,1,2,rat4,201,-1.068856681,dff,DS
F,2,1,2,rat5,201,1.772503336,dff,DS
F,2,1,2,rat9,201,2.963904974,dff,DS
F,3,1,3,rat12,201,1.310401634,dff,DS
F,3,1,3,rat16,201,2.219427274,dff,DS
F,3,1,3,rat2,201,-0.254672752,dff,DS
F,3,1,3,rat4,201,2.342866544,dff,DS
F,3,1,3,rat9,201,0.654079501,dff,DS
F,3,2,2,rat5,201,1.266648254,dff,DS
F,4,1,3,rat5,201,1.691485121,dff,DS
F,4,1,4,rat2,201,1.512430367,dff,DS
F,4,1,4,rat4,201,3.095421911,dff,DS
F,4,1,4,rat9,201,-0.093409375,dff,DS
F,4,2,3,rat12,201,2.819794363,dff,DS
F,4,2,3,rat16,201,2.218485555,dff,DS
F,5,1,4,rat5,201,1.795368487,dff,DS
F,5,2,4,rat4,201,1.541929807,dff,DS
F,5,2,4,rat9,201,4.494180722,dff,DS
F,5,3,3,rat12,201,1.559302399,dff,DS
F,5,3,3,rat16,201,3.38860788,dff,DS
F,6,1,4,rat12,201,4.639707092,dff,DS
F,6,1,4,rat16,201,-9.642392015,dff,DS
F,6,2,4,rat5,201,4.303024849,dff,DS
F,6,3,4,rat4,201,-0.157933264,dff,DS
F,6,3,4,rat9,201,3.671996734,dff,DS
F,7,2,4,rat16,201,3.201086986,dff,DS
F,7,3,4,rat5,201,1.160983795,dff,DS
F,7,4,4,rat4,201,2.776474284,dff,DS
F,8,3,4,rat16,201,2.826565619,dff,DS
F,8,4,4,rat5,201,1.376833871,dff,DS
F,8,5,4,rat4,201,2.180673972,dff,DS
F,8,5,4,rat9,201,8.19238629,dff,DS
F,9,4,4,rat16,201,2.417136541,dff,DS
F,9,5,4,rat5,201,3.514909493,dff,DS
F,9,6,4,rat4,201,2.921366049,dff,DS
F,9,6,4,rat9,201,2.070099636,dff,DS
F,10,4,3,rat16,201,5.392693861,dff,DS
F,10,6,4,rat5,201,3.218722157,dff,DS
F,10,7,4,rat4,201,5.392247641,dff,DS
F,11,5,4,rat16,201,4.253798292,dff,DS
F,11,7,4,rat5,201,6.631251236,dff,DS
F,11,8,4,rat4,201,6.102015286,dff,DS
M,1,1,1,rat10,201,3.098114204,dff,DS
M,1,1,1,rat11,201,-0.277015049,dff,DS
M,1,1,1,rat13,201,0.331591637,dff,DS
M,1,1,1,rat15,201,1.521691607,dff,DS
M,1,1,1,rat6,201,0.339198973,dff,DS
M,1,1,1,rat7,201,-1.174602636,dff,DS
M,2,1,2,rat10,201,1.383004052,dff,DS
M,2,1,2,rat11,201,-2.540665283,dff,DS
M,2,1,2,rat13,201,-0.553023961,dff,DS
M,2,1,2,rat15,201,10.23520387,dff,DS
M,2,1,2,rat6,201,1.00979155,dff,DS
M,2,1,2,rat7,201,1.400812019,dff,DS
M,3,1,3,rat10,201,2.450366066,dff,DS
M,3,1,3,rat11,201,-0.721303934,dff,DS
M,3,1,3,rat13,201,0.223663217,dff,DS
M,3,1,3,rat15,201,5.21111364,dff,DS
M,3,1,3,rat6,201,3.25459963,dff,DS
M,3,1,3,rat7,201,1.912143057,dff,DS
M,4,1,4,rat10,201,2.681573097,dff,DS
M,4,1,4,rat11,201,2.628652603,dff,DS
M,4,1,4,rat6,201,4.198798857,dff,DS
M,4,1,4,rat7,201,0.681248674,dff,DS
M,4,2,3,rat13,201,0.469732953,dff,DS
M,4,2,3,rat15,201,3.518950987,dff,DS
M,5,1,4,rat13,201,1.16851004,dff,DS
M,5,2,4,rat10,201,6.245607262,dff,DS
M,5,2,4,rat11,201,0.64397345,dff,DS
M,5,2,4,rat6,201,1.201281938,dff,DS
M,5,2,4,rat7,201,2.826155092,dff,DS
M,6,3,4,rat10,201,-7.585439148,dff,DS
M,6,3,4,rat11,201,7.020458315,dff,DS
M,6,3,4,rat6,201,1.407191831,dff,DS
M,6,3,4,rat7,201,4.46459546,dff,DS
M,7,2,4,rat15,201,12.96303633,dff,DS
M,7,4,4,rat10,201,10.08371012,dff,DS
M,7,4,4,rat6,201,4.848837259,dff,DS
M,7,4,4,rat7,201,3.020130845,dff,DS
M,8,3,4,rat15,201,10.10469548,dff,DS
M,8,5,4,rat10,201,8.405033299,dff,DS
M,8,5,4,rat11,201,8.094725104,dff,DS
M,8,5,4,rat6,201,5.830072226,dff,DS
M,8,5,4,rat7,201,8.303192689,dff,DS
M,9,4,4,rat15,201,13.55144686,dff,DS
M,9,6,4,rat11,201,7.599874829,dff,DS
