y,cue,subj
1.48025485241378,DS,rat10
3.36272237714289,NS,rat10
1.63425718857148,DS,rat11
7.24500480000003,NS,rat11
1.25388936533335,DS,rat12
4.94693814857137,NS,rat12
3.59679376695658,DS,rat13
4.12598272,NS,rat13
1.48653670399995,DS,rat15
3.30735616000002,NS,rat15
1.66549367466664,DS,rat16
3.69485823999998,NS,rat16
0.955793407999959,DS,rat2
3.45360383999994,NS,rat2
1.71121517714286,DS,rat4
2.37655381333337,NS,rat4
1.44453358933335,DS,rat5
5.31408018285718,NS,rat5
2.17533781333335,DS,rat6
6.37265042285713,NS,rat6
1.66672091428573,DS,rat7
5.01312170666676,NS,rat7
2.10658450285714,DS,rat8
2.56449649777777,NS,rat8
1.15755219862073,DS,rat9
6.86968831999996,NS,rat9
